alreadyAppliedOn,linkedColumn,hotJob,toReApply,addedToJobCart,contestNo,jobId,column,draft,locationsColumns
False,0,False,False,False,16017527,1158417,"Security Coordinator 4,[""Multiple Locations""],Jan 6, 2017",False,[1]
False,0,False,False,False,16024082,1167406,"Network Communications 3,[""United States-California-San Diego""],Jan 6, 2017",False,[1]
False,0,False,False,False,17000544,1178877,"Engineer Systems 4,[""United States-California-Redondo Beach""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000354,1178662,"HR Business Partner 2 - Redondo Beach,[""United States-California-Redondo Beach""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000355,1178680,"HR Business Partner 3 - Redondo Beach,[""United States-California-Redondo Beach""],Jan 5, 2017",False,[1]
False,0,False,False,False,16027418,1172284,"HR Business Partner 3 - Redondo Beach,[""Multiple Locations""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000510,1178813,"Engineer Software 4,[""United States-California-San Diego""],Jan 5, 2017",False,[1]
False,0,True,False,False,16028551,1174074,"Section Manager, VMS Avionics Hardware,[""United States-California-San Diego""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000147,1178396,"Program Cost Schedule & Control Analyst 2,[""United States-California-Sunnyvale""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000444,1178737,"Manager, Systems Test Engineering 1,[""United States-California-San Diego""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000382,1178765,"Subcontracts Administrator 2,[""United States-Illinois-Rolling Meadows""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000125,1178364,"Quality Engineering Manager 3,[""United States-California-Palmdale""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030281,1176827,"Mgr Information Technology,[""United States-California-Palmdale""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000235,1178620,"Logistics Planner 3, Provisioning Analyst,[""United States-Florida-Melbourne""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000149,1178447,"Project Management Analyst 2,[""United States-California-Sunnyvale""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000141,1178446,"Manager Programs 3,[""United States-California-Sunnyvale""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000145,1178405,"Manager Programs 2,[""United States-California-Sunnyvale""],Jan 5, 2017",False,[1]
False,0,False,False,False,16018610,1159867,"Gear Machinist,[""United States-California-Sunnyvale""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000420,1178757,"Subcontracts Administrator 2 (San Diego, CA),[""United States-California-San Diego""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000441,1178804,"Accountant 2,[""United States-California-El Segundo""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030684,1177644,"Financial/Cost Control Analyst 3,[""Multiple Locations""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030683,1177660,"Financial Analyst 2,[""Multiple Locations""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000479,1178863,"Precision Electromech Asmblr 2,[""United States-California-Carpinteria""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000475,1178845,"Precision Electromech Asmblr 3,[""United States-California-Carpinteria""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000277,1178640,"Aircraft Wiring Tech 2,[""United States-Virginia-Norfolk""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000269,1178629,"Mgr Industrial Engineering 2,[""United States-Florida-Saint Augustine""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000294,1178638,"Service Integration Architect,[""United States-Colorado-Aurora""],Jan 5, 2017",False,[1]
False,0,False,False,False,16029376,1175473,"Manager Programs 2,[""United States-Pennsylvania-Philadelphia""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030521,1177310,"CDIC / Grand Sky Lab Manager 2 (Section Manager),[""United States-North Dakota-Grand Forks AFB""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000298,1178618,"Service Integration Architect - OCONUS,[""United States-x-International-International Posting""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000436,1178792,"Integrated Service Desk Tech 3-16020,[""United States-Alabama-Redstone Arsenal""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000357,1178700,"Cable/Furniture Installation Tech 3- 16008,[""United States-Alabama-Redstone Arsenal""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030738,1177761,"C-RAM Operators, MOS 14 Series, Iraq, Egypt, Afghanistan,[""Multiple Locations""],Jan 5, 2017",False,[1]
False,0,False,False,False,16029646,1175880,"Technical  Writer , TS SCI - Cambridgeshire , England,[""Multiple Locations""],Jan 5, 2017",False,[1]
False,0,False,False,False,16029978,1176426,"Financial/Cost Control Analyst 4,[""United States-Alabama-Huntsville""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000199,1178545,"Mission Assurance Manager 3,[""United States-Virginia-Herndon""],Jan 5, 2017",False,[1]
False,0,False,False,False,16029257,1175321,"Security Instillation - Inspections , plans , crime prevention - UAE Abu Dhabi AF Base,[""Multiple Locations""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030685,1177645,"Mgr Programs 3,[""United States-Colorado-Boulder""],Jan 5, 2017",False,[1]
False,0,False,False,False,16029205,1175186,"Engineer Software 3/4,[""Multiple Locations""],Jan 5, 2017",False,[1]
False,0,False,False,False,16029201,1175226,"Engineer Systems 3/4,[""Multiple Locations""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000356,1178681,"Business Process Analyst 4,[""United States-Virginia-Springfield""],Jan 5, 2017",False,[1]
False,0,False,False,False,16025232,1169004,"Mgr Mfg Engineering 2,[""United States-California-El Segundo""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030261,1176735,"Conference Events Rep 4 (San Diego, CA),[""United States-California-San Diego""],Jan 5, 2017",False,[1]
False,0,True,False,False,16029705,1175879,"Legal Administrative Assistant 4,[""United States-Virginia-Falls Church""],Jan 5, 2017",False,[1]
False,0,False,False,False,16027607,1172514,"Mgr Systems Engineering 2,[""United States-Colorado-Schriever AFB""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000439,1178822,"Senior Radar Integration Engineer 4,[""United States-California-San Diego""],Jan 5, 2017",False,[1]
False,0,False,False,False,16021957,1164446,"System Security Engineering - Engineer Systems 5,[""United States-Maryland-Linthicum""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000164,1178413,"Operations Project Manager 3,[""United States-Alabama-Madison""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000425,1178801,"Software Test Engineer 2/3,[""United States-California-San Diego""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000418,1178787,"Engineer Embedded Software 2 or 3,[""United States-California-San Diego""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030530,1177313,"Chief Systems Engineer - Engineer Systems 6,[""United States-Colorado-Aurora""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030536,1177314,"Digital Power Control Engineer 3/4,[""United States-Illinois-Rolling Meadows""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030102,1176621,"Systems Engineer 2,[""United States-Maryland-Linthicum""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000158,1178410,"Contract Administrator 4,[""United States-Maryland-Linthicum""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030504,1177327,"Manager 2, Material Planning Control,[""United States-Illinois-Rolling Meadows""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000352,1178647,"Systems Test Engineer 4,[""United States-California-Palmdale""],Jan 5, 2017",False,[1]
False,0,False,False,False,16021381,1163647,"AEHF Offsite Integration and Test Manager 3,[""United States-California-Sunnyvale""],Jan 5, 2017",False,[1]
False,0,False,False,False,16022275,1164911,"Mgr Engineering 2,[""United States-Florida-Melbourne""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000374,1178762,"Support Equipment Engineer 3,[""United States-Florida-Melbourne""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000371,1178761,"Support Equipment Engineer 3,[""United States-Florida-Melbourne""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000375,1178724,"Support Equipment Design Engineer 3,[""United States-Florida-Melbourne""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030756,1177820,"Director 1 - Business Management,[""United States-Maryland-Annapolis Junction""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000389,1178768,"Simulation Software Development Engineer 3,[""United States-Florida-Melbourne""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000266,1178612,"Laser Technician 3,[""United States-Missouri-Saint Charles""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000390,1178769,"Computer Systems Analyst 2,[""United States-Florida-Melbourne""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000378,1178726,"SCHEDULER/Planning Analyst 1,[""United States-Illinois-Rolling Meadows""],Jan 5, 2017",False,[1]
False,0,False,False,False,16029969,1176421,"Help Desk Technical Support 2,[""United States-Florida-Orlando""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030688,1177663,"Subcontracts Administrator 3,[""United States-California-San Diego""],Jan 5, 2017",False,[1]
False,0,False,False,False,16025821,1169702,"Chief Engineer, Ground Segment (Director1),[""United States-California-San Diego""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030478,1177320,"Logistics Management Analyst 4,[""United States-Illinois-Scott AFB""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000268,1178631,"Manager -  Business Development 3 - Department of Homeland Security,[""United States-Virginia-McLean""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000204,1178562,"Engineering Manager 2 (Launcher Systems Test ),[""United States-California-Sunnyvale""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030583,1177425,"Director of Corporate Accounting,[""United States-Virginia-Falls Church""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000226,1178601,"ASIC Design Engineer 5,[""United States-Maryland-Linthicum""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000190,1178525,"Behavioral Res Scientist 2,[""United States-Georgia-Columbus""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030809,1178223,"RedHat Linux System Administrator- Health IT,[""United States-Maryland-Woodlawn""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000369,1178740,"SQL Database Developer-,[""United States-District of Columbia-Washington""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030548,1177360,"Quality Inspector,[""United States-Illinois-Rolling Meadows""],Jan 5, 2017",False,[1]
False,0,False,False,False,16027721,1172704,"Capture Manager 3 - TS/SCI required.,[""United States-Virginia-Fairfax""],Jan 5, 2017",False,[1]
False,0,False,False,False,16027722,1172743,"Proposals Manager 2,[""United States-Virginia-Fairfax""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000122,1178391,"CPSO / Industrial Security Analyst 2,[""United States-Maryland-Linthicum""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000114,1178387,"CPSO / Industrial Security Analyst 3,[""United States-Maryland-Linthicum""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000214,1178552,"Administrative Assistant 3,[""United States-Florida-Saint Augustine""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030640,1177541,"GUI Developer 3,[""United States-Pennsylvania-Canonsburg""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000103,1178360,"Program Cost and Control Analyst 3,[""United States-Georgia-Warner Robins""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000248,1178590,".Net Developer-,[""United States-District of Columbia-Washington""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000232,1178603,"Information Systems/Test Engineer 1,[""United States-Virginia-McLean""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000240,1178606,"Geospatial/GIS Analyst 3/4,[""United States-Virginia-Arlington""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030588,1177463,"Maintenance Janitor - Top Secret Clearance,[""United States-California-Ventura""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000259,1178575,"Logistics Management Analyst 2,[""United States-Illinois-Rolling Meadows""],Jan 5, 2017",False,[1]
False,0,False,False,False,16022479,1165205,"2017- College Intern Technical,[""United States-Virginia-Fairfax""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000367,1178720,"Summer Intern - Safety Engineer,[""United States-North Carolina-Charlotte""],Jan 5, 2017",False,[1]
False,0,False,False,False,17000220,1178554,"Test Analyst 3,[""United States-Maryland-Landover""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030764,1177901,"HVAC Mechanical Engineer,[""United States-Florida-Tyndall AFB""],Jan 5, 2017",False,[1]
False,0,False,False,False,16021502,1163966,"Solid State Technician C,[""United States-Maryland-Baltimore""],Jan 5, 2017",False,[1]
False,0,False,False,False,16029893,1176302,"Ceramic Material & Process Specialist,[""United States-Maryland-Baltimore""],Jan 5, 2017",False,[1]
False,0,False,False,False,16024666,1168251,"Mission Assurance Engineer 3,[""United States-California-Azusa""],Jan 5, 2017",False,[1]
False,0,False,False,False,16030472,1177224,"User Applications Liaison 2,[""United States-Louisiana-Lake Charles""],Jan 4, 2017",False,[1]
False,0,False,False,False,17000166,1178376,"Cloud Automation Engineer 4-16058,[""Multiple Locations""],Jan 4, 2017",False,[1]
False,0,False,False,False,16027739,1172731,"PC Network Support Tech 4 (Top Secret),[""United States-California-Palmdale""],Jan 4, 2017",False,[1]
False,0,False,False,False,16030282,1176860,"Mgr Engineering 1,[""United States-California-San Diego""],Jan 4, 2017",False,[1]
False,0,False,False,False,16030795,1178162,"2017 College Intern Technical - Software & Electrical Engineer (Sacramento),[""United States-California-McClellan""],Jan 4, 2017",False,[1]
False,0,False,False,False,17000173,1178466,"Stock Clerk 2,[""United States-California-San Diego""],Jan 4, 2017",False,[1]
False,0,False,False,False,16023169,1166106,"Site Director 1, Global Combat Support System - Army,[""United States-Virginia-Richmond""],Jan 4, 2017",False,[1]
False,0,False,False,False,16030597,1177431,"Production Test Technician,[""United States-California-San Diego""],Jan 4, 2017",False,[1]
False,0,False,False,False,16023095,1166064,"Engineer Systems 3,[""United States-California-Azusa""],Jan 4, 2017",False,[1]
